chapter,part,line,value,context,family,source,status,note
2,body,249,25,schools: 25 per cent of visited schools held an Outstanding inspection grade,representativeness,generate_representativeness_outputs.py on gs_data_tier (rebuilt),OK,
2,body,250,15,"as at August 2024 against 15 per cent nationally, and their mean Progress~8",representativeness,generate_representativeness_outputs.py on gs_data_tier (rebuilt),OK,
2,body,250,8,"as at August 2024 against 15 per cent nationally, and their mean Progress~8",representativeness,generate_representativeness_outputs.py on gs_data_tier (rebuilt),OK,
2,body,251,19,in 2018/19 was $+0.17$ against $+0.04$. That lean is the expected result of,structural / scale,"definition (1-5 scales, 0-10 rescaling, counts of items) -- checked by reading",OK,
2,body,251,+0.17,in 2018/19 was $+0.17$ against $+0.04$. That lean is the expected result of,structural / scale,"definition (1-5 scales, 0-10 rescaling, counts of items) -- checked by reading",OK,
2,body,251,+0.04,in 2018/19 was $+0.17$ against $+0.04$. That lean is the expected result of,structural / scale,"definition (1-5 scales, 0-10 rescaling, counts of items) -- checked by reading",OK,
2,body,279,1,Every observation item and interview statement is rated 1 to 5. Sub-scores,gold standard,analysis_dataset.csv gs_* + raw workbooks (recomputed),OK,
2,body,279,5,Every observation item and interview statement is rated 1 to 5. Sub-scores,gold standard,analysis_dataset.csv gs_* + raw workbooks (recomputed),OK,
2,body,280,0,"are item means; the dimension scores are sub-score means, rescaled to 0--10.",gold standard,analysis_dataset.csv gs_* + raw workbooks (recomputed),OK,
2,body,280,--10,"are item means; the dimension scores are sub-score means, rescaled to 0--10.",gold standard,analysis_dataset.csv gs_* + raw workbooks (recomputed),OK,
2,body,308,1,one in-lesson strictness figure on the 1--5 scale. That figure is averaged,gold standard,analysis_dataset.csv gs_* + raw workbooks (recomputed),OK,
2,body,308,--5,one in-lesson strictness figure on the 1--5 scale. That figure is averaged,gold standard,analysis_dataset.csv gs_* + raw workbooks (recomputed),OK,
2,body,310,0,enacted strictness on 0--10. Espoused strictness is simpler: the,gold standard,analysis_dataset.csv gs_* + raw workbooks (recomputed),OK,
2,body,310,--10,enacted strictness on 0--10. Espoused strictness is simpler: the,gold standard,analysis_dataset.csv gs_* + raw workbooks (recomputed),OK,
2,body,320,0.34,willingness ($r = 0.34$ to $0.48$) and correlate with the observed scores at,structural / scale,"definition (1-5 scales, 0-10 rescaling, counts of items) -- checked by reading",FIXED (C2-4),0.47 -> 0.48; confidence and willingness
2,body,320,0.48,willingness ($r = 0.34$ to $0.48$) and correlate with the observed scores at,structural / scale,"definition (1-5 scales, 0-10 rescaling, counts of items) -- checked by reading",FIXED (C2-4),0.47 -> 0.48; confidence and willingness
2,body,323,-0.01,"$-0.01$, against $0.41$ for the statement battery, and is likewise excluded:",gold standard,analysis_dataset.csv gs_* + raw workbooks (recomputed),OK,
2,body,323,0.41,"$-0.01$, against $0.41$ for the statement battery, and is likewise excluded:",gold standard,analysis_dataset.csv gs_* + raw workbooks (recomputed),OK,
2,body,329,0.47,"the observation items range from $0.47$ to $0.81$, and within-one-point",gold standard,analysis_dataset.csv gs_* + raw workbooks (recomputed),OK,
2,body,329,0.81,"the observation items range from $0.47$ to $0.81$, and within-one-point",gold standard,analysis_dataset.csv gs_* + raw workbooks (recomputed),OK,
2,body,330,90,agreement is close to 90 per cent throughout,structural / scale,"definition (1-5 scales, 0-10 rescaling, counts of items) -- checked by reading",OK,
2,body,332,0.79,"with the most concrete anchors, the frequency of disruption ($0.79$) and the",structural / scale,"definition (1-5 scales, 0-10 rescaling, counts of items) -- checked by reading",OK,
2,body,333,0.70,"level of misbehaviour tolerated ($0.70$), and lowest on the teaching-practice",gold standard,analysis_dataset.csv gs_* + raw workbooks (recomputed),OK,
2,body,335,0.53,resources and the choice of methods ($0.53$ and $0.55$). The interview,gold standard,analysis_dataset.csv gs_* + raw workbooks (recomputed),OK,
2,body,335,0.55,resources and the choice of methods ($0.53$ and $0.55$). The interview,gold standard,analysis_dataset.csv gs_* + raw workbooks (recomputed),OK,
2,body,337,0.61,$0.61$ to $0.74$ and within-one-point agreement above 90 per cent,structural / scale,"definition (1-5 scales, 0-10 rescaling, counts of items) -- checked by reading",OK,
2,body,337,0.74,$0.61$ to $0.74$ and within-one-point agreement above 90 per cent,structural / scale,"definition (1-5 scales, 0-10 rescaling, counts of items) -- checked by reading",OK,
2,body,337,90,$0.61$ to $0.74$ and within-one-point agreement above 90 per cent,structural / scale,"definition (1-5 scales, 0-10 rescaling, counts of items) -- checked by reading",OK,
2,body,357,8.0,"in the ratings. At the first, the headteacher rated the school 8.0 on warmth",gold standard,analysis_dataset.csv gs_* + raw workbooks (recomputed),OK,
2,body,358,8.0,"and 8.0 on strictness; the observers, across their lessons and the day,",gold standard,analysis_dataset.csv gs_* + raw workbooks (recomputed),OK,
2,body,359,8.0,"recorded 8.0 and 8.5, and the in-lesson and out-of-lesson sub-scores agree",gold standard,analysis_dataset.csv gs_* + raw workbooks (recomputed),OK,
2,body,359,8.5,"recorded 8.0 and 8.5, and the in-lesson and out-of-lesson sub-scores agree",gold standard,analysis_dataset.csv gs_* + raw workbooks (recomputed),OK,
2,body,361,9.3,"warmth 9.3 and strictness 7.8, near the top of the scale, and the observers",gold standard,analysis_dataset.csv gs_* + raw workbooks (recomputed),OK,
2,body,361,7.8,"warmth 9.3 and strictness 7.8, near the top of the scale, and the observers",gold standard,analysis_dataset.csv gs_* + raw workbooks (recomputed),OK,
2,body,362,4.7,recorded 4.7 and 5.9: in-lesson warmth averaged 2.2 out of 5 and out-of-lesson,gold standard,analysis_dataset.csv gs_* + raw workbooks (recomputed),OK,
2,body,362,5.9,recorded 4.7 and 5.9: in-lesson warmth averaged 2.2 out of 5 and out-of-lesson,gold standard,analysis_dataset.csv gs_* + raw workbooks (recomputed),OK,
2,body,362,2.2,recorded 4.7 and 5.9: in-lesson warmth averaged 2.2 out of 5 and out-of-lesson,gold standard,analysis_dataset.csv gs_* + raw workbooks (recomputed),OK,
2,body,362,5,recorded 4.7 and 5.9: in-lesson warmth averaged 2.2 out of 5 and out-of-lesson,gold standard,analysis_dataset.csv gs_* + raw workbooks (recomputed),OK,
2,body,363,2.5,"warmth 2.5, while the head's ratings on the three warmth statements averaged",gold standard,analysis_dataset.csv gs_* + raw workbooks (recomputed),OK,
2,body,364,4.7,4.7 out of 5. Nothing in the interview distinguishes the two heads. Across the,gold standard,analysis_dataset.csv gs_* + raw workbooks (recomputed),OK,
2,body,364,5,4.7 out of 5. Nothing in the interview distinguishes the two heads. Across the,gold standard,analysis_dataset.csv gs_* + raw workbooks (recomputed),OK,
2,body,366,0,the 0--10 scale and two in five a gap larger than two. Both measures are also,gold standard,analysis_dataset.csv gs_* + raw workbooks (recomputed),OK,
2,body,366,--10,the 0--10 scale and two in five a gap larger than two. Both measures are also,gold standard,analysis_dataset.csv gs_* + raw workbooks (recomputed),OK,
2,body,369,-0.52,"turnover at $r = -0.52$, and at $-0.48$ net of the other espoused scores,",gold standard,analysis_dataset.csv gs_* + raw workbooks (recomputed),FIXED (C2-6),wording of the conditional turnover figure
2,body,369,-0.48,"turnover at $r = -0.52$, and at $-0.48$ net of the other espoused scores,",gold standard,analysis_dataset.csv gs_* + raw workbooks (recomputed),FIXED (C2-6),wording of the conditional turnover figure
2,body,378,1,"school and returns a 1--5 score for warmth and for strictness (and, for",gold standard,analysis_dataset.csv gs_* + raw workbooks (recomputed),OK,
2,body,378,--5,"school and returns a 1--5 score for warmth and for strictness (and, for",gold standard,analysis_dataset.csv gs_* + raw workbooks (recomputed),OK,
2,body,379,4,"inspection reports, teaching). All scoring uses gpt-4o-mini at zero",corpus / instrument,"score files, crawl registry, dataset columns (recounted)",OK,
2,body,416,0.77,"labels of the same documents two weeks apart is $\kappa_w = 0.77$, which",instrument agreement,"RUN_RESULTS_2.md / labelling packs (traced, not recomputed)",OK (traced),
2,body,417,0.88,bounds what any rater can achieve against them at about $0.88$. Tuning and,instrument agreement,"RUN_RESULTS_2.md / labelling packs (traced, not recomputed)",OK (traced),
2,body,427,85,the instruments retained.\footnote{About 85 archived versions across eleven,instrument agreement,"RUN_RESULTS_2.md / labelling packs (traced, not recomputed)",OK (traced),
2,body,432,0.960,"character with an area under the ROC curve of 0.960, which establishes that",structural / scale,"definition (1-5 scales, 0-10 rescaling, counts of items) -- checked by reading",OK,
2,body,448,0.07,agreed best with its labels correlated with observed strictness at $0.07$;,instrument agreement,"RUN_RESULTS_2.md / labelling packs (traced, not recomputed)",OK (traced),
2,body,449,0.42,"the prose version, which agreed less well, correlated at $0.42$ on the same",instrument agreement,"RUN_RESULTS_2.md / labelling packs (traced, not recomputed)",FIXED (C2-1),"0.43 -> 0.42 (Spearman, same text)"
2,body,472,0.54,"scores, gives $0.54$; the separate-call instruments return $0.08$ to $0.18$.",structural / scale,"definition (1-5 scales, 0-10 rescaling, counts of items) -- checked by reading",FIXED (C2-2),"0.22 was BP v4, a single-call instrument"
2,body,472,0.08,"scores, gives $0.54$; the separate-call instruments return $0.08$ to $0.18$.",structural / scale,"definition (1-5 scales, 0-10 rescaling, counts of items) -- checked by reading",FIXED (C2-2),"0.22 was BP v4, a single-call instrument"
2,body,472,0.18,"scores, gives $0.54$; the separate-call instruments return $0.08$ to $0.18$.",structural / scale,"definition (1-5 scales, 0-10 rescaling, counts of items) -- checked by reading",FIXED (C2-2),"0.22 was BP v4, a single-call instrument"
2,body,479,0.63,"moved between models fell from $\kappa_w = 0.63$ to $0.12$, from substantial",instrument agreement,"RUN_RESULTS_2.md / labelling packs (traced, not recomputed)",OK (traced),
2,body,479,0.12,"moved between models fell from $\kappa_w = 0.63$ to $0.12$, from substantial",instrument agreement,"RUN_RESULTS_2.md / labelling packs (traced, not recomputed)",OK (traced),
2,body,487,-0.40,"inspection grade at $-0.40$ from text that never states it, where the",structural / scale,"definition (1-5 scales, 0-10 rescaling, counts of items) -- checked by reading",OK,
2,body,488,-0.25,reference raters of the same text track it at $-0.25$; it is carried as a descriptive,instrument agreement,"RUN_RESULTS_2.md / labelling packs (traced, not recomputed)",FIXED (C2-12),'human raters' -> 'reference raters'
2,body,514,2,"Model~B has no out-of-sample skill: its leave-one-out $R^2$ is $-0.02$, no",ridge,"build_ridge_models.py / ridge_spec_comparison.py (rerun, reproduce)",OK,
2,body,514,-0.02,"Model~B has no out-of-sample skill: its leave-one-out $R^2$ is $-0.02$, no",ridge,"build_ridge_models.py / ridge_spec_comparison.py (rerun, reproduce)",OK,
2,body,518,0.24,inspection-report strictness score do roughly equal work ($0.24$ and $0.23$,gold standard,analysis_dataset.csv gs_* + raw workbooks (recomputed),OK,
2,body,518,0.23,inspection-report strictness score do roughly equal work ($0.24$ and $0.23$,gold standard,analysis_dataset.csv gs_* + raw workbooks (recomputed),OK,
2,body,549,6.6,the \NTierOne{} visited schools has mean 6.6 and standard deviation 1.0 on the,gold standard,analysis_dataset.csv gs_* + raw workbooks (recomputed),OK,
2,body,549,1.0,the \NTierOne{} visited schools has mean 6.6 and standard deviation 1.0 on the,gold standard,analysis_dataset.csv gs_* + raw workbooks (recomputed),OK,
2,body,550,0,0--10 scale; enacted strictness has mean 7.0 and standard deviation 0.9.,gold standard,analysis_dataset.csv gs_* + raw workbooks (recomputed),OK,
2,body,550,--10,0--10 scale; enacted strictness has mean 7.0 and standard deviation 0.9.,gold standard,analysis_dataset.csv gs_* + raw workbooks (recomputed),OK,
2,body,550,7.0,0--10 scale; enacted strictness has mean 7.0 and standard deviation 0.9.,gold standard,analysis_dataset.csv gs_* + raw workbooks (recomputed),OK,
2,body,550,0.9,0--10 scale; enacted strictness has mean 7.0 and standard deviation 0.9.,gold standard,analysis_dataset.csv gs_* + raw workbooks (recomputed),OK,
2,body,552,8.5,(means 8.5 and 8.0) with standard deviations of 0.9 and 1.0. The two enacted,gold standard,analysis_dataset.csv gs_* + raw workbooks (recomputed),OK,
2,body,552,8.0,(means 8.5 and 8.0) with standard deviations of 0.9 and 1.0. The two enacted,gold standard,analysis_dataset.csv gs_* + raw workbooks (recomputed),OK,
2,body,552,0.9,(means 8.5 and 8.0) with standard deviations of 0.9 and 1.0. The two enacted,gold standard,analysis_dataset.csv gs_* + raw workbooks (recomputed),OK,
2,body,552,1.0,(means 8.5 and 8.0) with standard deviations of 0.9 and 1.0. The two enacted,gold standard,analysis_dataset.csv gs_* + raw workbooks (recomputed),OK,
2,body,568,0,"the \NInterviewed{} interviewed schools (top panels, 0--10 scale) and of",gold standard,analysis_dataset.csv gs_* + raw workbooks (recomputed),OK,
2,body,568,--10,"the \NInterviewed{} interviewed schools (top panels, 0--10 scale) and of",gold standard,analysis_dataset.csv gs_* + raw workbooks (recomputed),OK,
2,body,570,1,"population (bottom panels, 1--5 scale). Dashed lines mark sample means.}",structural / scale,"definition (1-5 scales, 0-10 rescaling, counts of items) -- checked by reading",OK,
2,body,570,--5,"population (bottom panels, 1--5 scale). Dashed lines mark sample means.}",structural / scale,"definition (1-5 scales, 0-10 rescaling, counts of items) -- checked by reading",OK,
2,body,576,0,$\GapWarmth$ points on the 0--10 scale and stricter by $\GapStrictness$ (paired,gold standard,analysis_dataset.csv gs_* + raw workbooks (recomputed),OK,
2,body,576,--10,$\GapWarmth$ points on the 0--10 scale and stricter by $\GapStrictness$ (paired,gold standard,analysis_dataset.csv gs_* + raw workbooks (recomputed),OK,
2,body,577,0.001,$p < 0.001$ for both). A gap of $\GapWarmth$ points is close to two standard,gold standard,analysis_dataset.csv gs_* + raw workbooks (recomputed),OK,
2,body,585,0.39,"the consistency of practice (sanctions applied consistently, $r = 0.39$ with",structural / scale,"definition (1-5 scales, 0-10 rescaling, counts of items) -- checked by reading",OK,
2,body,586,0.29,"observed strictness; rewards applied consistently, $0.29$ with observed",gold standard,analysis_dataset.csv gs_* + raw workbooks (recomputed),OK,
2,body,587,0.16,"warmth), not those about how people feel (pupils feel safe, $0.16$; teachers",gold standard,analysis_dataset.csv gs_* + raw workbooks (recomputed),OK,
2,body,588,0.11,"care, $0.11$ with observed warmth, neither significant). Headteachers report accurately on whether their systems are",gold standard,analysis_dataset.csv gs_* + raw workbooks (recomputed),OK,
2,body,601,0.29,correlated with the espoused one ($0.29$ and $0.31$). The parent survey is,gold standard,analysis_dataset.csv gs_* + raw workbooks (recomputed),OK,
2,body,601,0.31,correlated with the espoused one ($0.29$ and $0.31$). The parent survey is,gold standard,analysis_dataset.csv gs_* + raw workbooks (recomputed),OK,
2,body,604,0.31,children being happy and safe track what heads say about warmth ($0.31$) more,gold standard,analysis_dataset.csv gs_* + raw workbooks (recomputed),OK,
2,body,605,0.16,"than what observers record ($0.16$), and track observed strictness ($0.28$)",gold standard,analysis_dataset.csv gs_* + raw workbooks (recomputed),OK,
2,body,605,0.28,"than what observers record ($0.16$), and track observed strictness ($0.28$)",gold standard,analysis_dataset.csv gs_* + raw workbooks (recomputed),OK,
2,body,620,-0.08,score is uncorrelated with observed warmth ($-0.08$; $-0.02$ on the revised,gold standard,analysis_dataset.csv gs_* + raw workbooks (recomputed),OK,
2,body,620,-0.02,score is uncorrelated with observed warmth ($-0.08$; $-0.02$ on the revised,gold standard,analysis_dataset.csv gs_* + raw workbooks (recomputed),OK,
2,body,622,-0.06,"parent measure ($-0.06$, $p = 0.001$; $-0.04$, $p = 0.03$ on the revised",structural / scale,"definition (1-5 scales, 0-10 rescaling, counts of items) -- checked by reading",FIXED (C2-5),parent figure attributed to the instrument that produced it
2,body,622,0.001,"parent measure ($-0.06$, $p = 0.001$; $-0.04$, $p = 0.03$ on the revised",structural / scale,"definition (1-5 scales, 0-10 rescaling, counts of items) -- checked by reading",FIXED (C2-5),parent figure attributed to the instrument that produced it
2,body,622,-0.04,"parent measure ($-0.06$, $p = 0.001$; $-0.04$, $p = 0.03$ on the revised",structural / scale,"definition (1-5 scales, 0-10 rescaling, counts of items) -- checked by reading",FIXED (C2-5),parent figure attributed to the instrument that produced it
2,body,622,0.03,"parent measure ($-0.06$, $p = 0.001$; $-0.04$, $p = 0.03$ on the revised",structural / scale,"definition (1-5 scales, 0-10 rescaling, counts of items) -- checked by reading",FIXED (C2-5),parent figure attributed to the instrument that produced it
2,body,624,0.01,with observed strictness ($0.01$ and $-0.08$ respectively). One school in ten,gold standard,analysis_dataset.csv gs_* + raw workbooks (recomputed),OK,
2,body,624,-0.08,with observed strictness ($0.01$ and $-0.08$ respectively). One school in ten,gold standard,analysis_dataset.csv gs_* + raw workbooks (recomputed),OK,
2,body,634,-0.40,"grade at $-0.40$ from report text stripped of every stated grade, where the",structural / scale,"definition (1-5 scales, 0-10 rescaling, counts of items) -- checked by reading",OK,
2,body,635,-0.25,reference raters of the same text track it at $-0.25$: inspectors write about,instrument agreement,"RUN_RESULTS_2.md / labelling packs (traced, not recomputed)",FIXED (C2-12),'human raters' -> 'reference raters'
2,body,639,-0.49,"tracks the verdict ($-0.49$) but, unlike warmth, it tracks observed practice",gold standard,analysis_dataset.csv gs_* + raw workbooks (recomputed),OK,
2,body,643,0.960,website text with an area under the ROC curve of 0.960: the method reads what,corpus / instrument,"score files, crawl registry, dataset columns (recounted)",OK,
2,appendix,724,2,{\Huge\bfseries Appendix to Chapter 2}\\[10pt],structural / scale,"definition (1-5 scales, 0-10 rescaling, counts of items) -- checked by reading",OK,
2,appendix,724,10,{\Huge\bfseries Appendix to Chapter 2}\\[10pt],structural / scale,"definition (1-5 scales, 0-10 rescaling, counts of items) -- checked by reading",OK,
2,appendix,725,14,{\large\itshape Measuring warmth and strictness}\\[14pt],gold standard,analysis_dataset.csv gs_* + raw workbooks (recomputed),OK,
2,appendix,751,1,Every item is recorded on a 1--5 scale. Two observation items admit a zero code,gold standard,analysis_dataset.csv gs_* + raw workbooks (recomputed),OK,
2,appendix,751,--5,Every item is recorded on a 1--5 scale. Two observation items admit a zero code,gold standard,analysis_dataset.csv gs_* + raw workbooks (recomputed),OK,
2,appendix,757,6,"$6 - \text{disruption}$, which assigns a calm unsanctioned lesson a high value",gold standard,analysis_dataset.csv gs_* + raw workbooks (recomputed),OK,
2,appendix,775,0,"those eight, rescaled to 0--5. Every other sub-score is the mean of its items,",gold standard,analysis_dataset.csv gs_* + raw workbooks (recomputed),OK,
2,appendix,775,--5,"those eight, rescaled to 0--5. Every other sub-score is the mean of its items,",gold standard,analysis_dataset.csv gs_* + raw workbooks (recomputed),OK,
2,appendix,803,0,from 0--5 to 0--10.,structural / scale,"definition (1-5 scales, 0-10 rescaling, counts of items) -- checked by reading",OK,
2,appendix,803,--5,from 0--5 to 0--10.,structural / scale,"definition (1-5 scales, 0-10 rescaling, counts of items) -- checked by reading",OK,
2,appendix,803,0,from 0--5 to 0--10.,structural / scale,"definition (1-5 scales, 0-10 rescaling, counts of items) -- checked by reading",OK,
2,appendix,803,--10,from 0--5 to 0--10.,structural / scale,"definition (1-5 scales, 0-10 rescaling, counts of items) -- checked by reading",OK,
2,appendix,874,1.0,\texttt{school-policy-downloader/1.0}; each file is stored with its SHA-256,structural / scale,"definition (1-5 scales, 0-10 rescaling, counts of items) -- checked by reading",OK,
2,appendix,874,256,\texttt{school-policy-downloader/1.0}; each file is stored with its SHA-256,structural / scale,"definition (1-5 scales, 0-10 rescaling, counts of items) -- checked by reading",OK,
2,appendix,876,"8,277","a multi-academy trust can be detected. The retrieval stage returned 8,277",structural / scale,"definition (1-5 scales, 0-10 rescaling, counts of items) -- checked by reading",OK,
2,appendix,888,"3,363","3,363 schools with at least one candidate, selection was high-confidence for",structural / scale,"definition (1-5 scales, 0-10 rescaling, counts of items) -- checked by reading",OK,
2,appendix,889,"2,755,","2,755, medium for 387 and low for 79, with a further 142 resolved by hand; 333",structural / scale,"definition (1-5 scales, 0-10 rescaling, counts of items) -- checked by reading",FIXED,334 -> 333
2,appendix,889,387,"2,755, medium for 387 and low for 79, with a further 142 resolved by hand; 333",structural / scale,"definition (1-5 scales, 0-10 rescaling, counts of items) -- checked by reading",FIXED,334 -> 333
2,appendix,889,"79,","2,755, medium for 387 and low for 79, with a further 142 resolved by hand; 333",structural / scale,"definition (1-5 scales, 0-10 rescaling, counts of items) -- checked by reading",FIXED,334 -> 333
2,appendix,889,142,"2,755, medium for 387 and low for 79, with a further 142 resolved by hand; 333",structural / scale,"definition (1-5 scales, 0-10 rescaling, counts of items) -- checked by reading",FIXED,334 -> 333
2,appendix,889,333,"2,755, medium for 387 and low for 79, with a further 142 resolved by hand; 333",structural / scale,"definition (1-5 scales, 0-10 rescaling, counts of items) -- checked by reading",FIXED,334 -> 333
2,appendix,912,3,"($n = 3{,}312$), interviewed schools ($n = 300$), and visited schools ($n = 102$),",gold standard,analysis_dataset.csv gs_* + raw workbooks (recomputed),OK,
2,appendix,912,312,"($n = 3{,}312$), interviewed schools ($n = 300$), and visited schools ($n = 102$),",gold standard,analysis_dataset.csv gs_* + raw workbooks (recomputed),OK,
2,appendix,912,300,"($n = 3{,}312$), interviewed schools ($n = 300$), and visited schools ($n = 102$),",gold standard,analysis_dataset.csv gs_* + raw workbooks (recomputed),OK,
2,appendix,912,102,"($n = 3{,}312$), interviewed schools ($n = 300$), and visited schools ($n = 102$),",gold standard,analysis_dataset.csv gs_* + raw workbooks (recomputed),OK,
2,appendix,915,45.1,visited sample is particularly concentrated in London (45.1\% versus 15.0\%,representativeness,generate_representativeness_outputs.py on gs_data_tier (rebuilt),OK,
2,appendix,915,15.0,visited sample is particularly concentrated in London (45.1\% versus 15.0\%,representativeness,generate_representativeness_outputs.py on gs_data_tier (rebuilt),OK,
2,appendix,916,2,nationally). $\chi^2$ goodness-of-fit tests reject equal regional composition,representativeness,generate_representativeness_outputs.py on gs_data_tier (rebuilt),OK,
2,appendix,917,001,for both samples ($p < .001$).},structural / scale,"definition (1-5 scales, 0-10 rescaling, counts of items) -- checked by reading",OK,
2,appendix,945,"0,","and predictions are clipped to $[0, 10]$.",structural / scale,"definition (1-5 scales, 0-10 rescaling, counts of items) -- checked by reading",OK,
2,appendix,945,10,"and predictions are clipped to $[0, 10]$.",structural / scale,"definition (1-5 scales, 0-10 rescaling, counts of items) -- checked by reading",OK,
2,appendix,974,2,a cross-validated $R^2$ of $0.107$; the keyword baseline on the same documents,ridge,"build_ridge_models.py / ridge_spec_comparison.py (rerun, reproduce)",FIXED,ridge-spec prose onto the regenerated table
2,appendix,974,0.107,a cross-validated $R^2$ of $0.107$; the keyword baseline on the same documents,ridge,"build_ridge_models.py / ridge_spec_comparison.py (rerun, reproduce)",FIXED,ridge-spec prose onto the regenerated table
2,appendix,975,0.094,"reaches $r = 0.094$ and an $R^2$ of $0.008$, barely distinguishable from",structural / scale,"definition (1-5 scales, 0-10 rescaling, counts of items) -- checked by reading",OK,
2,appendix,975,2,"reaches $r = 0.094$ and an $R^2$ of $0.008$, barely distinguishable from",structural / scale,"definition (1-5 scales, 0-10 rescaling, counts of items) -- checked by reading",OK,
2,appendix,975,0.008,"reaches $r = 0.094$ and an $R^2$ of $0.008$, barely distinguishable from",structural / scale,"definition (1-5 scales, 0-10 rescaling, counts of items) -- checked by reading",OK,
2,appendix,983,2,both return a negative cross-validated $R^2$ ($-0.020$ for the holistic scores,ridge,"build_ridge_models.py / ridge_spec_comparison.py (rerun, reproduce)",FIXED,ridge-spec prose onto the regenerated table
2,appendix,983,-0.020,both return a negative cross-validated $R^2$ ($-0.020$ for the holistic scores,ridge,"build_ridge_models.py / ridge_spec_comparison.py (rerun, reproduce)",FIXED,ridge-spec prose onto the regenerated table
3,body,15,"8,","schools, and Progress~8, the Department for Education's value-added measure,",ch3 regression,"ch3_estimates.csv / ch3_appendix_estimates.csv / a7_estimates.csv (Stata, rerun)",OK,
3,body,20,8,higher Progress~8 and a standard deviation of observed strictness with,ch3 regression,"ch3_estimates.csv / ch3_appendix_estimates.csv / a7_estimates.csv (Stata, rerun)",HELD (C3-1),"body coefficients are per point of the 0-10 scale, not per SD; Damian's decision"
